Table 1.1.5. Gross Domestic Product
Table 1.1.5. Gross Domestic Product
"Last Revised on: January 26, 2023 - Next Release Date February 23, 2023"
Line,,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
16,"    Exports",969.2,1004.2,1015.6,1003.0,1004.2,1007.5,1037.3,1091.7,1133.7,1170.2,1180.2,1221.4,1258.4,1294.9,1302.3,1350.7,1414.0,1459.8,1475.4,1531.5,1578.0,1622.8,1685.7,1750.7,1813.3,1905.3,1922.2,1700.3,1511.8,1521.1,1594.7,1703.5,1759.9,1819.7,1877.3,1972.1,2040.4,2116.1,2156.8,2150.1,2190.0,2215.6,2227.7,2237.5,2255.1,2260.4,2284.2,2348.2,2342.4,2394.1,2398.1,2375.1,2297.4,2298.7,2258.4,2220.1,2179.2,2218.9,2265.4,2264.9,2339.7,2349.7,2384.5,2479.1,2518.1,2564.1,2536.0,2534.2,2542.7,2549.6,2533.3,2528.2,2412.7,1817.5,2106.6,2257.8,2369.1,2503.1,2553.3,2733.0,2811.2,3038.8,3065.0,3007.8
17,"        Goods",685.5,712.1,722.4,706.3,715.9,716.6,731.8,771.1,797.0,822.1,834.9,857.9,883.7,917.3,921.4,955.0,1002.8,1034.4,1051.9,1083.2,1105.5,1136.4,1176.0,1221.0,1273.7,1351.5,1371.2,1167.7,1004.7,1004.5,1067.1,1153.3,1200.2,1250.4,1283.0,1358.0,1415.2,1468.8,1489.6,1500.2,1515.4,1533.4,1541.4,1528.2,1541.1,1547.7,1556.7,1610.0,1593.8,1630.2,1635.8,1608.1,1523.9,1526.7,1487.6,1448.5,1414.3,1434.0,1466.7,1475.4,1519.6,1513.3,1537.7,1616.0,1640.4,1701.9,1668.1,1666.8,1667.1,1646.3,1636.4,1629.2,1595.4,1143.1,1416.3,1525.3,1614.8,1721.3,1751.6,1878.2,1940.9,2134.7,2141.2,2044.1
18,"        Services",283.6,292.1,293.2,296.7,288.3,290.8,305.5,320.5,336.7,348.0,345.3,363.5,374.7,377.6,380.9,395.8,411.2,425.3,423.5,448.3,472.5,486.3,509.7,529.7,539.6,553.8,551.1,532.6,507.1,516.6,527.6,550.2,559.7,569.3,594.2,614.1,625.2,647.3,667.2,649.9,674.6,682.1,686.4,709.3,713.9,712.8,727.6,738.2,748.6,763.9,762.3,767.0,773.5,772.0,770.7,771.5,765.0,785.0,798.7,789.5,820.1,836.4,846.9,863.1,877.7,862.2,867.9,867.5,875.6,903.3,896.9,899.0,817.3,674.4,690.3,732.5,754.3,781.8,801.8,854.9,870.4,904.2,923.8,963.7
19,"    Imports",1356.0,1432.4,1463.1,1499.3,1529.5,1527.3,1556.3,1615.4,1699.6,1787.7,1832.9,1921.8,1955.1,2002.1,2053.3,2155.5,2204.8,2253.8,2298.7,2269.2,2317.3,2368.6,2414.7,2480.4,2584.6,2681.7,2709.6,2328.8,1932.8,1879.5,2018.7,2176.8,2269.1,2362.3,2431.2,2495.7,2608.9,2697.2,2723.9,2751.9,2792.3,2780.8,2750.8,2753.4,2755.3,2759.8,2767.2,2783.3,2853.7,2900.6,2888.5,2907.0,2824.4,2807.5,2801.4,2746.1,2693.6,2710.6,2750.5,2798.7,2872.7,2903.5,2902.9,3020.9,3094.5,3107.4,3154.2,3168.6,3142.6,3165.3,3118.2,3042.9,2935.4,2343.7,2799.0,3026.4,3177.7,3337.5,3442.5,3647.7,3927.9,4074.4,3955.8,3855.0
20,"        Goods",1121.6,1197.4,1226.4,1250.1,1279.7,1281.9,1293.0,1341.5,1414.5,1496.0,1533.1,1610.9,1642.4,1687.5,1733.1,1828.1,1857.7,1899.9,1944.0,1900.9,1938.2,1980.2,2015.1,2077.5,2165.5,2258.7,2274.7,1895.8,1523.0,1473.6,1606.6,1749.3,1838.0,1925.8,1982.3,2042.1,2159.8,2231.5,2249.9,2283.3,2319.5,2304.2,2273.1,2276.2,2289.2,2290.1,2295.6,2300.7,2360.8,2405.7,2392.7,2398.1,2329.0,2306.6,2293.6,2229.1,2179.8,2193.6,2224.6,2276.7,2333.0,2347.6,2338.4,2460.6,2531.7,2538.3,2583.9,2582.3,2546.4,2559.7,2517.6,2443.0,2382.5,1936.8,2362.9,2535.8,2692.6,2806.6,2850.5,3029.0,3289.3,3394.8,3269.7,3157.1
21,"        Services",234.5,235.0,236.7,249.3,249.7,245.4,263.3,273.9,285.1,291.7,299.8,310.9,312.7,314.6,320.2,327.4,347.1,353.9,354.7,368.3,379.1,388.4,399.6,402.9,419.1,423.0,434.9,433.0,409.8,405.8,412.2,427.5,431.0,436.5,448.9,453.6,449.0,465.7,474.0,468.7,472.8,476.6,477.7,477.2,466.1,469.6,471.6,482.6,492.9,494.9,495.8,508.9,495.3,500.9,507.8,517.0,513.8,517.0,525.9,522.0,539.7,555.9,564.5,560.3,562.7,569.1,570.3,586.3,596.2,605.5,600.6,599.9,552.9,406.9,436.1,490.6,485.1,530.9,592.0,618.7,638.6,679.6,686.1,697.9
22,Government consumption expenditures and gross investment,2040.0,2074.5,2101.3,2142.2,2172.0,2198.8,2220.4,2251.2,2286.6,2320.7,2356.4,2388.8,2426.1,2452.2,2494.4,2528.4,2580.1,2610.6,2630.3,2674.5,2718.5,2770.0,2808.7,2865.1,2909.6,2971.6,3029.0,3021.8,3022.0,3070.5,3092.1,3120.8,3133.8,3165.8,3158.3,3164.3,3155.8,3168.3,3136.9,3130.8,3144.0,3130.5,3139.1,3132.3,3125.4,3132.6,3134.8,3139.3,3138.2,3154.1,3191.8,3191.2,3189.3,3232.0,3250.6,3254.5,3270.2,3287.4,3315.8,3338.8,3355.3,3371.3,3395.1,3457.7,3503.4,3561.7,3613.6,3636.3,3688.3,3744.4,3785.1,3821.9,3883.0,3951.8,3922.9,3957.8,4088.7,4124.4,4183.1,4246.7,4311.4,4412.8,4493.0,4568.0
23,"    Federal",714.0,734.8,748.4,775.2,792.7,826.0,833.3,855.1,871.8,884.6,902.5,909.6,931.8,939.3,956.4,963.7,997.1,997.2,995.4,1015.1,1017.5,1042.5,1058.8,1085.3,1111.2,1146.6,1170.2,1179.8,1185.2,1213.5,1228.3,1256.2,1278.4,1305.1,1304.3,1312.9,1306.0,1312.7,1288.7,1291.7,1296.1,1288.6,1293.8,1269.5,1240.5,1232.9,1219.0,1216.3,1211.8,1210.0,1229.3,1212.9,1216.0,1220.6,1221.2,1229.3,1229.3,1225.8,1238.1,1244.8,1246.3,1257.1,1260.6,1285.6,1306.0,1326.3,1351.2,1368.3,1393.0,1405.2,1425.7,1437.7,1455.6,1560.0,1525.3,1541.3,1620.3,1608.0,1595.5,1612.8,1613.1,1622.7,1657.1,1693.9
24,"        National defense",440.9,452.5,460.2,482.2,495.0,521.9,524.0,544.0,556.1,562.8,580.7,579.8,598.4,606.0,616.4,617.0,635.7,640.0,632.4,655.2,654.6,674.1,684.4,703.9,721.2,742.2,766.3,771.6,765.4,782.9,792.8,809.1,817.5,828.0,828.9,837.4,831.6,843.0,835.0,826.3,824.1,816.0,820.2,796.4,775.3,770.9,757.0,753.6,744.3,741.8,754.1,733.5,730.3,732.1,725.9,730.8,727.3,720.2,731.2,733.0,733.5,745.7,744.6,760.7,767.9,783.3,800.9,817.1,835.6,838.4,854.9,862.4,869.0,870.6,879.9,910.3,900.7,904.3,906.8,904.4,898.7,918.3,935.3,947.5
25,"        Nondefense",273.1,282.3,288.2,293.1,297.7,304.0,309.2,311.2,315.7,321.7,321.8,329.8,333.4,333.3,340.0,346.7,361.3,357.2,363.1,359.9,362.9,368.4,374.4,381.3,390.0,404.4,404.0,408.2,419.8,430.6,435.5,447.1,460.9,477.0,475.4,475.4,474.4,469.7,453.7,465.4,472.0,472.6,473.6,473.1,465.1,462.0,462.0,462.6,467.5,468.2,475.2,479.4,485.7,488.5,495.3,498.6,502.0,505.6,506.9,511.8,512.9,511.5,516.0,524.9,538.1,543.0,550.3,551.2,557.4,566.8,570.8,575.3,586.6,689.4,645.4,631.0,719.6,703.7,688.8,708.4,714.4,704.4,721.8,746.4
26,"    State and local",1326.0,1339.7,1352.9,1367.0,1379.3,1372.8,1387.2,1396.0,1414.8,1436.1,1453.9,1479.2,1494.3,1513.0,1538.0,1564.8,1583.0,1613.4,1634.8,1659.4,1700.9,1727.5,1749.9,1779.8,1798.5,1825.0,1858.8,1842.0,1836.8,1857.0,1863.8,1864.6,1855.5,1860.7,1854.0,1851.4,1849.8,1855.5,1848.3,1839.1,1847.9,1841.8,1845.3,1862.7,1884.9,1899.8,1915.8,1923.0,1926.4,1944.1,1962.5,1978.3,1973.3,2011.4,2029.4,2025.2,2040.9,2061.6,2077.7,2094.0,2109.0,2114.2,2134.5,2172.1,2197.4,2235.4,2262.4,2268.0,2295.3,2339.2,2359.4,2384.2,2427.4,2391.8,2397.6,2416.5,2468.4,2516.4,2587.6,2633.9,2698.2,2790.0,2836.0,2874.1
